FUND NAME,SHARE CLASS,ISIN,INCEPTION DATE,AUM,AS OF DATE,MORNINGSTAR,SFDR ARTICLE CLASSIFICATION,ASSET CLASS
Global Total Return Fund (UCITS),USD S Q1 Dist,LU2065729142, 19/12/2019 ,USD 112.98 M, 21/02/2024 ,5.0,Article 8,Alternative
Global Total Return Fund (UCITS),USD S Acc,LU0832407331, 31/10/2012 ,USD 112.98 M, 21/02/2024 ,4.0,Article 8,Fixed Income
Global Total Return Fund (UCITS),GBP N Acc Hdg,LU0975809525, 25/01/2019 ,USD 112.98 M, 21/02/2024 ,3.0,Article 8,Alternative
Global Total Return Fund (UCITS),USD N Acc,LU0891779281, 21/05/2013 ,USD 112.98 M, 21/02/2024 ,4.0,Article 8,Alternative
Global Total Return Fund (UCITS),EUR S Q1 Dist Hdg,LU2065729498, 19/12/2019 ,USD 112.98 M, 21/02/2024 ,4.0,Article 8,Equity
Global Total Return Fund (UCITS),GBP S Q1 Dist Hdg,LU2065729811, 19/12/2019 ,USD 112.98 M, 21/02/2024 ,4.0,Article 8,Alternative
Higher Quality Global High Yield Bond Fund,USD S Acc,IE00BF426977, 31/01/2018 ,USD 125.88 M, 21/02/2024 ,4.0,Article 8,Alternative
India Focus Equity Fund,USD N Acc,IE00BK8V7R07, 13/07/2020 ,USD 4.59 M, 21/02/2024 ,3.0,Article 8,Fixed Income
India Focus Equity Fund,USD S Acc,IE00BKDZ9606, 13/07/2020 ,USD 4.59 M, 21/02/2024 ,3.0,Article 8,Fixed Income
Multi-Asset High Income Fund,GBP N M4 Dist Hdg,LU2430703509, 01/02/2022 ,USD 61.31 M, 21/02/2024 ,3.0,Article 6,Multi-Asset
Multi-Asset High Income Fund,EUR S M4 Dist Hdg,LU2430703418, 01/02/2022 ,USD 61.31 M, 21/02/2024 ,3.0,Article 6,Equity
Multi-Asset High Income Fund,USD N M4 Dist,LU2430704143, 01/02/2022 ,USD 61.31 M, 21/02/2024 ,4.0,Article 6,Alternative
Multi-Asset High Income Fund,USD N Acc,LU2430704069, 01/02/2022 ,USD 61.31 M, 21/02/2024 ,4.0,Article 6,Alternative
Multi-Asset High Income Fund,USD S M4 Dist,LU2430704226, 01/02/2022 ,USD 61.31 M, 21/02/2024 ,4.0,Article 6,Multi-Asset
Multi-Asset Total Return Income Fund,USD S M4 Dist,IE00BF4JGJ87, 28/06/2018 ,USD 108.58 M, 21/02/2024 ,3.0,Article 8,Alternative
Multi-Asset Total Return Income Fund,USD N M4 Dist,IE00BF4JFZ70, 28/06/2018 ,USD 108.58 M, 21/02/2024 ,2.0,Article 8,Equity
Multi-Asset Total Return Income Fund,GBP N Acc Hdg,IE00BH47RJ39, 09/01/2019 ,USD 108.58 M, 21/02/2024 ,2.0,Article 8,Multi-Asset
Next Generation Education Fund,USD N Acc,LU2402388701, 21/12/2021 ,USD 46.28 M, 21/02/2024 ,,Article 8,Equity
Next Generation Education Fund,USD S Acc,LU2402388883, 21/12/2021 ,USD 46.28 M, 21/02/2024 ,,Article 8,Multi-Asset
Next Generation Global Equity Fund,EUR S Acc,LU2355592184, 16/07/2021 ,USD 1.94 M, 21/02/2024 ,,Article 8,Multi-Asset
Next Generation Global Equity Fund,GBP N Acc,LU2355592341, 16/07/2021 ,USD 1.94 M, 21/02/2024 ,,Article 8,Fixed Income
Next Generation Global Equity Fund,USD N Acc,LU2355591962, 16/07/2021 ,USD 1.94 M, 21/02/2024 ,,Article 8,Equity
Next Generation Global Equity Fund,USD S Acc,LU2355592002, 16/07/2021 ,USD 1.94 M, 21/02/2024 ,,Article 8,Alternative
Opportunistic Emerging Market Debt II Fund,EUR S Q1 Dist Hdg,LU0629164780, 15/10/2012 ,USD 706.98 M, 21/02/2024 ,3.0,Article 8,Alternative
Opportunistic Emerging Markets Debt Fund,USD S Q1 Dist,IE00B3DJ3G15, 20/08/2010 ,USD 1.64 B, 21/02/2024 ,4.0,Article 8,Equity
Opportunistic Emerging Markets Debt Fund,USD S Acc,IE00B3DJ3J46, 31/08/2009 ,USD 1.64 B, 21/02/2024 ,4.0,Article 8,Alternative
Opportunistic Emerging Markets Debt Fund,EUR S Acc Hdg,IE00B3DJ4243, 01/09/2009 ,USD 1.64 B, 21/02/2024 ,4.0,Article 8,Alternative
Opportunistic Emerging Markets Debt Fund,JPY S Acc Hdg,IE00B3DJ4P70, 24/03/2011 ,USD 1.64 B, 21/02/2024 ,,Article 8,Equity
Opportunistic Emerging Markets Debt Fund,CHF S Acc Hdg,IE00B3DJ5216, 06/07/2010 ,USD 1.64 B, 21/02/2024 ,,Article 8,Multi-Asset
Opportunistic Fixed Income Fund,USD S Q1 Dist,IE00BKX9V228, 13/02/2020 ,USD 1.07 B, 21/02/2024 ,2.0,Article 6,Equity
Opportunistic Fixed Income Fund,SGD S Q1 Dist Hdg,IE00BKX9V111, 01/12/2020 ,USD 1.07 B, 21/02/2024 ,,Article 6,Multi-Asset
Opportunistic Fixed Income Fund,USD S Acc,IE00BD960324, 14/12/2017 ,USD 1.07 B, 21/02/2024 ,2.0,Article 6,Alternative
Opportunistic Fixed Income Fund,EUR S Q1 Dist Hdg,IE00BKX9V004, 02/10/2020 ,USD 1.07 B, 21/02/2024 ,2.0,Article 6,Alternative
Opportunistic Fixed Income Fund,USD N Acc,IE00BD960217, 14/12/2017 ,USD 1.07 B, 21/02/2024 ,2.0,Article 6,Alternative
Opportunistic Fixed Income Fund,EUR N Acc Hdg,IE00BF5FSY46, 04/09/2020 ,USD 1.07 B, 21/02/2024 ,2.0,Article 6,Fixed Income
Opportunistic Fixed Income Fund,GBP N Acc Hdg,IE00BH45FD72, 09/01/2019 ,USD 1.07 B, 21/02/2024 ,2.0,Article 6,Multi-Asset
Opportunistic Fixed Income Fund,GBP S Acc Hdg,IE00BKP4XS59, 26/10/2020 ,USD 1.07 B, 21/02/2024 ,2.0,Article 6,Fixed Income
Sterling Core Bond Plus Fund,GBP S Acc,IE00B67KR364, 27/01/2010 ,GBP 55.98 M, 21/02/2024 ,3.0,Article 8,Fixed Income
Strategic European Equity Fund,EUR N Acc,IE00B9DPD161, 04/06/2013 ,EUR 2.24 B, 21/02/2024 ,5.0,Article 8,Equity
Strategic European Equity Fund,USD N Acc,IE00B8P0Y861, 03/04/2014 ,EUR 2.24 B, 21/02/2024 ,5.0,Article 8,Fixed Income
Strategic European Equity Fund,GBP N Acc,IE00B82BFK16, 31/05/2013 ,EUR 2.24 B, 21/02/2024 ,5.0,Article 8,Equity
Strategic European Equity Fund,GBP N A1 Dist,IE00BL25X772, 15/04/2014 ,EUR 2.24 B, 21/02/2024 ,5.0,Article 8,Equity
Strategic European Equity Fund,CHF N Acc,IE00B89M0793, 04/06/2013 ,EUR 2.24 B, 21/02/2024 ,5.0,Article 8,Fixed Income
Strategic European Equity Fund,CHF N Acc Hdg,IE00BYP21S39, 15/10/2015 ,EUR 2.24 B, 21/02/2024 ,,Article 8,Multi-Asset
Strategic European Equity Fund,EUR S Acc,IE00B6TYHG95, 15/12/2011 ,EUR 2.24 B, 21/02/2024 ,5.0,Article 8,Multi-Asset
Strategic European Equity Fund,USD S Acc Hdg,IE00BYTC0C66, 05/11/2015 ,EUR 2.24 B, 21/02/2024 ,,Article 8,Multi-Asset
Strategic European Equity Fund,USD S Acc,IE00B9FQ4253, 07/03/2014 ,EUR 2.24 B, 21/02/2024 ,5.0,Article 8,Multi-Asset
Strategic European Equity Fund,USD N Acc Hdg,IE00BJVD4M08, 11/03/2014 ,EUR 2.24 B, 21/02/2024 ,,Article 8,Multi-Asset
Sustainable Outcomes Fund,USD S Acc,LU2491050667, 31/08/2022 ,USD 1.35 M, 21/02/2024 ,,Article 9,Fixed Income
Sustainable Outcomes Fund,GBP N Acc,LU2491049818, 31/08/2022 ,USD 1.35 M, 21/02/2024 ,,Article 9,Fixed Income
Sustainable Outcomes Fund,USD N Acc,LU2491050584, 31/08/2022 ,USD 1.35 M, 21/02/2024 ,,Article 9,Alternative
US Brand Power Fund,USD N Acc,LU2294321760, 24/02/2021 ,USD 1.26 M, 21/02/2024 ,,Article 8,Multi-Asset
US Brand Power Fund,GBP N Acc,LU2294321331, 24/02/2021 ,USD 1.26 M, 21/02/2024 ,,Article 8,Fixed Income
US Brand Power Fund,USD S Acc,LU2294321257, 24/02/2021 ,USD 1.26 M, 21/02/2024 ,,Article 8,Alternative
US Dynamic Equity Fund,USD N Acc,IE00BHR46S39, 18/12/2019 ,USD 18.28 M, 21/02/2024 ,2.0,Article 6,Multi-Asset
US Dynamic Equity Fund,USD S Acc,IE00BHR46T46, 18/12/2019 ,USD 18.28 M, 21/02/2024 ,2.0,Article 6,Equity
US Dynamic Equity Fund,GBP S Acc,IE00BHR46Q15, 18/12/2019 ,USD 18.28 M, 21/02/2024 ,2.0,Article 6,Alternative
US Dynamic Equity Fund,GBP N Acc Hdg,IE00BG0TTK14, 18/12/2019 ,USD 18.28 M, 21/02/2024 ,,Article 6,Fixed Income
US Quality Growth Fund,USD S Acc,LU2305751260, 10/03/2021 ,USD 32.27 M, 21/02/2024 ,,Article 8,Equity
US Quality Growth Fund,USD N Acc,LU2305751187, 10/03/2021 ,USD 32.27 M, 21/02/2024 ,,Article 8,Equity
US Research Equity Fund,EUR N Acc Hdg,LU1508451900, 01/02/2018 ,USD 1.36 B, 21/02/2024 ,,Article 8,Equity
US Research Equity Fund,USD N Acc,LU0891777665, 13/06/2014 ,USD 1.36 B, 21/02/2024 ,3.0,Article 8,Alternative
US Research Equity Fund,USD S Acc,LU0050381036, 30/06/1994 ,USD 1.36 B, 21/02/2024 ,3.0,Article 8,Fixed Income
US Research Equity Fund,GBP N Acc,LU1912699268, 09/01/2019 ,USD 1.36 B, 21/02/2024 ,3.0,Article 8,Equity
US Research Equity Fund,GBP N A1 Dist,LU1329467101, 19/03/2018 ,USD 1.36 B, 21/02/2024 ,3.0,Article 8,Multi-Asset
US Research Equity Fund,GBP S Acc,LU1512743821, 14/12/2016 ,USD 1.36 B, 21/02/2024 ,3.0,Article 8,Equity
US Research Equity Fund,EUR N Acc,LU1687454352, 06/12/2017 ,USD 1.36 B, 21/02/2024 ,3.0,Article 8,Equity
US Research Equity Fund,USD N A1 Dist,LU1223419331, 04/06/2015 ,USD 1.36 B, 21/02/2024 ,3.0,Article 8,Alternative
US$ Core High Yield Bond Fund,USD S Acc,IE0003110479, 30/09/2010 ,USD 39.39 M, 21/02/2024 ,5.0,Article 8,Alternative
World Bond Fund,USD N Acc,IE00BF2ZV605, 30/06/2014 ,USD 300.09 M, 21/02/2024 ,5.0,Article 8,Fixed Income
World Bond Fund,GBP N Acc Hdg,IE00BF2ZV829, 09/01/2015 ,USD 300.09 M, 21/02/2024 ,3.0,Article 8,Multi-Asset
World Bond Fund,EUR N Acc Hdg,IE00BF2ZV712, 09/01/2015 ,USD 300.09 M, 21/02/2024 ,3.0,Article 8,Alternative
World Bond Fund,USD S Acc,IE00BF2ZV936, 30/04/2015 ,USD 300.09 M, 21/02/2024 ,5.0,Article 8,Equity
